primary_vote_2016,dem_primary_vote_2016,rep_primary_vote_2016,state,pres_vote_2016,birth_year,income_group,pres_vote_2012,age,income
"No, not in either",NA,NA,Utah,Donald Trump,1956,"$20,000 - $29,999",Mitt Romney,60,20000
In the Republican primary,NA,Donald Trump,Massachusetts,Donald Trump,1957,"$30,000 - $39,999",Mitt Romney,59,30000
"No, not in either",NA,NA,Virginia,Hillary Clinton,1968,"$40,000 - $49,999",Barack Obama,48,40000
"No, not in either",NA,NA,Pennsylvania,Donald Trump,1961,"$20,000 - $29,999",Mitt Romney,55,20000
"No, not in either",NA,NA,Oklahoma,Donald Trump,1965,"$50,000 - $59,999",NA,51,50000
"No, not in either",NA,NA,Idaho,Donald Trump,1960,"$40,000 - $49,999",Mitt Romney,56,40000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1960,"$30,000 - $39,999",Barack Obama,56,30000
In the Democratic primary,Don't recall,NA,Pennsylvania,NA,1963,"$40,000 - $49,999",NA,53,40000
"No, not in either",NA,NA,New York,Hillary Clinton,1949,"$20,000 - $29,999",Barack Obama,67,20000
"No, not in either",NA,NA,Ohio,Hillary Clinton,1946,"Less than $10,000",Barack Obama,70,0
In the Republican primary,NA,Marco Rubio,Oklahoma,Hillary Clinton,1961,"$100,000 - $119,999",Mitt Romney,55,100000
"No, not in either",NA,NA,Pennsylvania,Donald Trump,1940,"$20,000 - $29,999",Barack Obama,76,20000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1963,"$10,000 - $19,999",Barack Obama,53,10000
"Not sure, don't recall",NA,NA,Florida,Hillary Clinton,1965,"$120,000 - $149,999",Barack Obama,51,120000
In the Democratic primary,Hillary Clinton,NA,Oregon,Hillary Clinton,1945,"$10,000 - $19,999",Barack Obama,71,10000
In the Democratic primary,Bernie Sanders,NA,New York,Hillary Clinton,1953,"$30,000 - $39,999",Barack Obama,63,30000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1954,"$40,000 - $49,999",Barack Obama,62,40000
In the Democratic primary,Bernie Sanders,NA,South Dakota,Donald Trump,1950,"$30,000 - $39,999",Barack Obama,66,30000
"No, not in either",NA,NA,Nebraska,Donald Trump,1970,Prefer not to say,Mitt Romney,46,NA
In the Republican primary,NA,Ted Cruz,North Carolina,Donald Trump,1945,"$120,000 - $149,999",Mitt Romney,71,120000
"No, not in either",NA,NA,Kentucky,Donald Trump,1954,"$20,000 - $29,999",Mitt Romney,62,20000
In the Democratic primary,Bernie Sanders,NA,New Hampshire,Hillary Clinton,1949,"$80,000 - $99,999",Barack Obama,67,80000
"No, not in either",NA,NA,Virginia,Hillary Clinton,1951,"$30,000 - $39,999",Barack Obama,65,30000
"No, not in either",NA,NA,Massachusetts,Donald Trump,1950,"$80,000 - $99,999",Mitt Romney,66,80000
In the Republican primary,NA,John Kasich,New York,Donald Trump,1940,"$40,000 - $49,999",Mitt Romney,76,40000
"No, not in either",NA,NA,New York,Hillary Clinton,1953,"$10,000 - $19,999",Barack Obama,63,10000
In the Republican primary,NA,Donald Trump,North Carolina,Donald Trump,1957,"$10,000 - $19,999",NA,59,10000
"Not sure, don't recall",NA,NA,New York,Hillary Clinton,1968,"$30,000 - $39,999",Barack Obama,48,30000
In the Democratic primary,Someone else,NA,California,Did not vote for President,1961,"$20,000 - $29,999",Barack Obama,55,20000
"No, not in either",NA,NA,California,NA,1986,Prefer not to say,NA,30,NA
"No, not in either",NA,NA,Arizona,Donald Trump,1946,"$70,000 - $79,999",Barack Obama,70,70000
"No, not in either",NA,NA,Wisconsin,NA,1965,"$50,000 - $59,999",NA,51,50000
In the Democratic primary,Bernie Sanders,NA,North Carolina,Donald Trump,1967,"$30,000 - $39,999",Mitt Romney,49,30000
"No, not in either",NA,NA,Pennsylvania,NA,1948,"$10,000 - $19,999",NA,68,10000
In the Republican primary,NA,Donald Trump,New York,Donald Trump,1943,"$40,000 - $49,999",Mitt Romney,73,40000
"No, not in either",NA,NA,Minnesota,Donald Trump,1943,"$70,000 - $79,999",Mitt Romney,73,70000
"No, not in either",NA,NA,North Carolina,Donald Trump,1955,"$120,000 - $149,999",Mitt Romney,61,120000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1980,Prefer not to say,Mitt Romney,36,NA
"No, not in either",NA,NA,Florida,Donald Trump,1954,"$20,000 - $29,999",Mitt Romney,62,20000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1950,"$40,000 - $49,999",Barack Obama,66,40000
In the Democratic primary,Hillary Clinton,NA,North Carolina,Hillary Clinton,1968,Prefer not to say,Barack Obama,48,NA
In the Republican primary,NA,Marco Rubio,Illinois,Donald Trump,1970,"$40,000 - $49,999",Mitt Romney,46,40000
"No, not in either",NA,NA,California,Donald Trump,1950,"$50,000 - $59,999",Mitt Romney,66,50000
"No, not in either",NA,NA,Texas,NA,1977,"$80,000 - $99,999",NA,39,80000
In the Republican primary,NA,Donald Trump,West Virginia,Donald Trump,1955,"$10,000 - $19,999",NA,61,10000
"No, not in either",NA,NA,Florida,Donald Trump,1944,"$30,000 - $39,999",Mitt Romney,72,30000
In the Democratic primary,Hillary Clinton,NA,Massachusetts,Hillary Clinton,1941,"$30,000 - $39,999",Barack Obama,75,30000
In the Democratic primary,Hillary Clinton,NA,Indiana,Hillary Clinton,1947,"$20,000 - $29,999",Barack Obama,69,20000
"Not sure, don't recall",NA,NA,New Jersey,Hillary Clinton,1977,"$80,000 - $99,999",NA,39,80000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1983,"$120,000 - $149,999",Barack Obama,33,120000
In the Republican primary,NA,Donald Trump,New York,Donald Trump,1941,NA,Mitt Romney,75,NA
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1943,"$60,000 - $69,999",Barack Obama,73,60000
"No, not in either",NA,NA,California,Other,1951,"$100,000 - $119,999",Barack Obama,65,100000
In the Democratic primary,Hillary Clinton,NA,Kentucky,Donald Trump,1947,Prefer not to say,Barack Obama,69,NA
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1964,"$80,000 - $99,999",Barack Obama,52,80000
In the Republican primary,NA,Donald Trump,Idaho,Donald Trump,1964,Prefer not to say,Mitt Romney,52,NA
"Not sure, don't recall",Hillary Clinton,NA,Wisconsin,Hillary Clinton,1964,"$120,000 - $149,999",Barack Obama,52,120000
In the Democratic primary,Hillary Clinton,NA,Missouri,Hillary Clinton,1939,"$60,000 - $69,999",Barack Obama,77,60000
"No, not in either",NA,NA,New York,Donald Trump,1962,Prefer not to say,Mitt Romney,54,NA
In the Democratic primary,Bernie Sanders,NA,California,Jill Stein,1946,"$10,000 - $19,999",Barack Obama,70,10000
In the Democratic primary,Hillary Clinton,NA,Wisconsin,Hillary Clinton,1957,"$80,000 - $99,999",Barack Obama,59,80000
"No, not in either",NA,NA,Michigan,Donald Trump,1934,"$10,000 - $19,999",NA,82,10000
In the Democratic primary,Hillary Clinton,NA,Missouri,Hillary Clinton,1953,"$80,000 - $99,999",Barack Obama,63,80000
In the Republican primary,NA,John Kasich,New York,Other,1974,Prefer not to say,Mitt Romney,42,NA
"No, not in either",NA,NA,Minnesota,Donald Trump,1961,"Less than $10,000",Mitt Romney,55,0
"No, not in either",NA,NA,Pennsylvania,Hillary Clinton,1980,"$120,000 - $149,999",Other candidate,36,120000
In the Democratic primary,Hillary Clinton,NA,Virginia,NA,1973,"$30,000 - $39,999",Barack Obama,43,30000
"No, not in either",NA,NA,Michigan,Hillary Clinton,1959,"$30,000 - $39,999",Other candidate,57,30000
In the Democratic primary,Hillary Clinton,NA,Michigan,NA,1946,"$20,000 - $29,999",Barack Obama,70,20000
In the Democratic primary,Bernie Sanders,NA,New Jersey,Donald Trump,1957,NA,Mitt Romney,59,NA
"No, not in either",NA,NA,Rhode Island,Hillary Clinton,1971,"Less than $10,000",Barack Obama,45,0
In the Democratic primary,Hillary Clinton,NA,Georgia,Hillary Clinton,1948,"$50,000 - $59,999",Barack Obama,68,50000
"No, not in either",NA,NA,Oregon,Donald Trump,1961,"$30,000 - $39,999",Mitt Romney,55,30000
In the Democratic primary,Bernie Sanders,NA,Indiana,Other,1985,"Less than $10,000",Barack Obama,31,0
"Not sure, don't recall",NA,NA,Mississippi,Hillary Clinton,1979,"Less than $10,000",Mitt Romney,37,0
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1944,Prefer not to say,Barack Obama,72,NA
In the Democratic primary,Bernie Sanders,NA,Illinois,Jill Stein,1960,"$100,000 - $119,999",Mitt Romney,56,100000
"No, not in either",NA,NA,Washington,Gary Johnson,1967,Prefer not to say,Mitt Romney,49,NA
In the Democratic primary,Hillary Clinton,NA,Georgia,Hillary Clinton,1958,"$50,000 - $59,999",Barack Obama,58,50000
In the Democratic primary,Bernie Sanders,NA,Ohio,Hillary Clinton,1947,"$20,000 - $29,999",Barack Obama,69,20000
In the Republican primary,NA,Someone else,South Carolina,Donald Trump,1955,"$40,000 - $49,999",Mitt Romney,61,40000
In the Republican primary,NA,Donald Trump,Iowa,Donald Trump,1966,"$120,000 - $149,999",Mitt Romney,50,120000
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1948,"$60,000 - $69,999",Barack Obama,68,60000
In the Republican primary,NA,Donald Trump,Michigan,Donald Trump,1957,"$50,000 - $59,999",Mitt Romney,59,50000
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1950,Prefer not to say,Barack Obama,66,NA
In the Democratic primary,Don't recall,NA,Washington,NA,1954,"$30,000 - $39,999",NA,62,30000
"No, not in either",NA,NA,Michigan,Donald Trump,1958,"$20,000 - $29,999",NA,58,20000
"No, not in either",NA,NA,Minnesota,Gary Johnson,1979,"$50,000 - $59,999",Barack Obama,37,50000
In the Democratic primary,Hillary Clinton,NA,Massachusetts,Hillary Clinton,1956,"$20,000 - $29,999",Barack Obama,60,20000
In the Democratic primary,Bernie Sanders,NA,Texas,Hillary Clinton,1957,"$80,000 - $99,999",Barack Obama,59,80000
In the Republican primary,NA,Donald Trump,Georgia,Donald Trump,1973,"$50,000 - $59,999",Mitt Romney,43,50000
In the Democratic primary,Bernie Sanders,NA,California,Other,1966,Prefer not to say,Barack Obama,50,NA
In the Democratic primary,Bernie Sanders,NA,Alabama,Other,1974,"$30,000 - $39,999",Barack Obama,42,30000
In the Democratic primary,Bernie Sanders,NA,Kentucky,Hillary Clinton,1961,Prefer not to say,Other candidate,55,NA
In the Democratic primary,Hillary Clinton,NA,Minnesota,Hillary Clinton,1950,"$10,000 - $19,999",Barack Obama,66,10000
"Not sure, don't recall",NA,NA,Texas,Donald Trump,1978,"$60,000 - $69,999",NA,38,60000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1972,"$120,000 - $149,999",Barack Obama,44,120000
"No, not in either",NA,NA,Florida,Donald Trump,1967,"$80,000 - $99,999",Mitt Romney,49,80000
In the Democratic primary,Hillary Clinton,NA,Arizona,Hillary Clinton,1946,"$40,000 - $49,999",Barack Obama,70,40000
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1974,"$100,000 - $119,999",Mitt Romney,42,100000
"No, not in either",NA,NA,Louisiana,Hillary Clinton,1966,"$10,000 - $19,999",Barack Obama,50,10000
In the Republican primary,NA,Marco Rubio,Indiana,Did not vote for President,1960,"$60,000 - $69,999",Mitt Romney,56,60000
In the Republican primary,NA,John Kasich,Florida,Donald Trump,1945,"$60,000 - $69,999",Mitt Romney,71,60000
In the Democratic primary,Bernie Sanders,NA,Wisconsin,Hillary Clinton,1985,"$30,000 - $39,999",Barack Obama,31,30000
"No, not in either",NA,NA,California,Donald Trump,1973,"$50,000 - $59,999",Mitt Romney,43,50000
In the Republican primary,NA,Ted Cruz,Kansas,Donald Trump,1950,"$50,000 - $59,999",Mitt Romney,66,50000
In the Republican primary,NA,John Kasich,Maryland,Hillary Clinton,1963,"$40,000 - $49,999",Barack Obama,53,40000
In the Republican primary,NA,Ted Cruz,New York,Donald Trump,1960,"$100,000 - $119,999",Mitt Romney,56,100000
In the Democratic primary,Hillary Clinton,NA,Indiana,Hillary Clinton,1952,"$150,000 or more",Barack Obama,64,150000
In the Republican primary,NA,Someone else,Georgia,Hillary Clinton,1959,"$70,000 - $79,999",Other candidate,57,70000
In the Republican primary,NA,Donald Trump,Idaho,Donald Trump,1949,"$60,000 - $69,999",Mitt Romney,67,60000
In the Republican primary,NA,Ted Cruz,Texas,Donald Trump,1961,Prefer not to say,Mitt Romney,55,NA
"No, not in either",NA,NA,Kansas,Donald Trump,1941,"$20,000 - $29,999",Mitt Romney,75,20000
In the Democratic primary,Bernie Sanders,NA,Texas,Hillary Clinton,1943,"$40,000 - $49,999",Barack Obama,73,40000
In the Republican primary,NA,Ted Cruz,Texas,Donald Trump,1983,"$70,000 - $79,999",Mitt Romney,33,70000
"No, not in either",NA,NA,Florida,Hillary Clinton,1943,Prefer not to say,Barack Obama,73,NA
"No, not in either",NA,NA,New York,Donald Trump,1959,"$100,000 - $119,999",Mitt Romney,57,100000
In the Democratic primary,Bernie Sanders,NA,California,Gary Johnson,1975,"$80,000 - $99,999",Barack Obama,41,80000
In the Republican primary,NA,Donald Trump,Kansas,Donald Trump,1961,"Less than $10,000",Mitt Romney,55,0
In the Democratic primary,Bernie Sanders,NA,Illinois,Hillary Clinton,1942,"$70,000 - $79,999",Barack Obama,74,70000
"No, not in either",NA,NA,Iowa,Hillary Clinton,1984,"$30,000 - $39,999",Barack Obama,32,30000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1958,"$50,000 - $59,999",Mitt Romney,58,50000
"No, not in either",NA,NA,Oklahoma,Hillary Clinton,1985,"$20,000 - $29,999",NA,31,20000
In the Republican primary,NA,Donald Trump,Oregon,Donald Trump,1957,"$10,000 - $19,999",Barack Obama,59,10000
In the Republican primary,NA,Donald Trump,Illinois,Donald Trump,1959,"$60,000 - $69,999",Barack Obama,57,60000
"No, not in either",NA,NA,Iowa,Donald Trump,1966,"$70,000 - $79,999",Mitt Romney,50,70000
In the Democratic primary,Bernie Sanders,NA,Connecticut,Hillary Clinton,1972,"$70,000 - $79,999",Barack Obama,44,70000
"No, not in either",NA,NA,Wisconsin,Donald Trump,1983,"$50,000 - $59,999",Other candidate,33,50000
"Not sure, don't recall",NA,NA,Oregon,Donald Trump,1958,Prefer not to say,Barack Obama,58,NA
In the Republican primary,NA,Someone else,Virginia,Donald Trump,1955,"$80,000 - $99,999",NA,61,80000
"No, not in either",NA,NA,Virginia,Hillary Clinton,1957,"$120,000 - $149,999",NA,59,120000
"No, not in either",NA,NA,Tennessee,NA,1957,"$30,000 - $39,999",Mitt Romney,59,30000
In the Democratic primary,Hillary Clinton,NA,Alabama,Hillary Clinton,1962,"$10,000 - $19,999",Barack Obama,54,10000
In the Republican primary,NA,Ted Cruz,Utah,Donald Trump,1967,"$80,000 - $99,999",Mitt Romney,49,80000
"No, not in either",NA,NA,Georgia,NA,1962,"$50,000 - $59,999",NA,54,50000
"No, not in either",NA,NA,Michigan,NA,1951,"$20,000 - $29,999",Mitt Romney,65,20000
In the Democratic primary,Bernie Sanders,NA,Michigan,Hillary Clinton,1963,"$40,000 - $49,999",Barack Obama,53,40000
In the Republican primary,NA,Donald Trump,Illinois,Donald Trump,1953,"$50,000 - $59,999",Mitt Romney,63,50000
In the Democratic primary,Hillary Clinton,NA,Utah,Hillary Clinton,1950,"$20,000 - $29,999",Barack Obama,66,20000
"No, not in either",NA,NA,Florida,Hillary Clinton,1965,"$70,000 - $79,999",Barack Obama,51,70000
In the Republican primary,NA,Donald Trump,Virginia,Donald Trump,1981,"$50,000 - $59,999",Mitt Romney,35,50000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1950,"$150,000 or more",Barack Obama,66,150000
In the Republican primary,NA,Ted Cruz,Indiana,Donald Trump,1957,"$120,000 - $149,999",Other candidate,59,120000
In the Democratic primary,Hillary Clinton,NA,Kentucky,Donald Trump,1937,Prefer not to say,Mitt Romney,79,NA
"No, not in either",NA,NA,Texas,Donald Trump,1963,"$60,000 - $69,999",Mitt Romney,53,60000
In the Republican primary,NA,Ted Cruz,New Mexico,Donald Trump,1956,"$80,000 - $99,999",Mitt Romney,60,80000
"No, not in either",NA,NA,Florida,Other,1957,"$100,000 - $119,999",Other candidate,59,100000
In the Democratic primary,Bernie Sanders,NA,Massachusetts,Donald Trump,1959,"$40,000 - $49,999",Barack Obama,57,40000
"No, not in either",NA,NA,California,Hillary Clinton,1969,"$100,000 - $119,999",I did not vote,47,100000
In the Republican primary,NA,Donald Trump,Nebraska,Donald Trump,1956,Prefer not to say,Mitt Romney,60,NA
In the Democratic primary,Bernie Sanders,NA,California,Donald Trump,1955,"$80,000 - $99,999",Mitt Romney,61,80000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1956,"$70,000 - $79,999",Barack Obama,60,70000
In the Democratic primary,Hillary Clinton,NA,Indiana,Hillary Clinton,1951,"$40,000 - $49,999",Barack Obama,65,40000
In the Republican primary,NA,John Kasich,South Carolina,Hillary Clinton,1953,"$60,000 - $69,999",Barack Obama,63,60000
In the Republican primary,NA,Marco Rubio,Florida,Donald Trump,1940,"$150,000 or more",Mitt Romney,76,150000
In the Democratic primary,Bernie Sanders,NA,Wisconsin,Hillary Clinton,1966,"$100,000 - $119,999",Barack Obama,50,100000
In the Republican primary,NA,Marco Rubio,Illinois,Donald Trump,1943,"$30,000 - $39,999",Mitt Romney,73,30000
"No, not in either",NA,NA,New Jersey,Donald Trump,1955,Prefer not to say,NA,61,NA
"No, not in either",NA,NA,Illinois,Donald Trump,1959,"$50,000 - $59,999",Mitt Romney,57,50000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1955,"$150,000 or more",Barack Obama,61,150000
In the Republican primary,NA,Ted Cruz,Mississippi,Donald Trump,1963,"$120,000 - $149,999",Mitt Romney,53,120000
"No, not in either",NA,NA,Pennsylvania,NA,1969,"$20,000 - $29,999",Barack Obama,47,20000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Donald Trump,1965,"$80,000 - $99,999",Barack Obama,51,80000
In the Republican primary,NA,Ted Cruz,Michigan,Donald Trump,1933,"$40,000 - $49,999",Mitt Romney,83,40000
In the Republican primary,NA,Ted Cruz,California,Donald Trump,1932,"$120,000 - $149,999",Mitt Romney,84,120000
"No, not in either",NA,NA,Maine,NA,1972,"Less than $10,000",Barack Obama,44,0
"No, not in either",NA,NA,New Hampshire,Hillary Clinton,1957,"$40,000 - $49,999",Barack Obama,59,40000
"No, not in either",NA,NA,North Carolina,NA,1953,"Less than $10,000",Other candidate,63,0
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1950,"$20,000 - $29,999",Mitt Romney,66,20000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1970,"$10,000 - $19,999",Barack Obama,46,10000
In the Democratic primary,Bernie Sanders,NA,Kansas,Hillary Clinton,1962,"$40,000 - $49,999",Barack Obama,54,40000
In the Democratic primary,Hillary Clinton,NA,Oregon,Other,1947,"$80,000 - $99,999",Barack Obama,69,80000
In the Republican primary,NA,Donald Trump,Tennessee,Donald Trump,1957,"$100,000 - $119,999",Mitt Romney,59,100000
In the Republican primary,NA,Donald Trump,New Mexico,Donald Trump,1943,"$120,000 - $149,999",Mitt Romney,73,120000
In the Republican primary,NA,Donald Trump,Maryland,Donald Trump,1941,"$60,000 - $69,999",Mitt Romney,75,60000
In the Republican primary,NA,Ted Cruz,California,Donald Trump,1943,"$60,000 - $69,999",Mitt Romney,73,60000
In the Democratic primary,Bernie Sanders,NA,Illinois,Hillary Clinton,1965,"$70,000 - $79,999",Barack Obama,51,70000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1961,"$10,000 - $19,999",Barack Obama,55,10000
In the Democratic primary,Bernie Sanders,NA,Wisconsin,Jill Stein,1970,"$30,000 - $39,999",Other candidate,46,30000
In the Democratic primary,Bernie Sanders,NA,Massachusetts,Hillary Clinton,1940,"$100,000 - $119,999",Barack Obama,76,100000
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1960,"$60,000 - $69,999",Mitt Romney,56,60000
In the Democratic primary,Bernie Sanders,NA,South Dakota,Hillary Clinton,1964,"$20,000 - $29,999",Barack Obama,52,20000
In the Democratic primary,Hillary Clinton,NA,Connecticut,Hillary Clinton,1965,"$40,000 - $49,999",Barack Obama,51,40000
"No, not in either",NA,NA,Arizona,Donald Trump,1957,"Less than $10,000",Mitt Romney,59,0
"No, not in either",NA,NA,California,Hillary Clinton,1945,"$10,000 - $19,999",Barack Obama,71,10000
In the Democratic primary,Bernie Sanders,NA,Texas,Jill Stein,1936,Prefer not to say,Barack Obama,80,NA
"No, not in either",NA,NA,Missouri,Gary Johnson,1961,"$10,000 - $19,999",Barack Obama,55,10000
In the Democratic primary,Hillary Clinton,NA,Kansas,Hillary Clinton,1958,"$40,000 - $49,999",Barack Obama,58,40000
In the Democratic primary,Bernie Sanders,NA,Illinois,Hillary Clinton,1988,"$60,000 - $69,999",Barack Obama,28,60000
In the Republican primary,NA,Donald Trump,Illinois,Donald Trump,1976,Prefer not to say,Mitt Romney,40,NA
In the Democratic primary,Hillary Clinton,NA,Montana,Hillary Clinton,1937,Prefer not to say,Barack Obama,79,NA
"No, not in either",NA,NA,Alabama,Hillary Clinton,1956,"$40,000 - $49,999",Barack Obama,60,40000
In the Democratic primary,Hillary Clinton,NA,Rhode Island,Hillary Clinton,1948,"$50,000 - $59,999",Barack Obama,68,50000
"No, not in either",NA,NA,West Virginia,Donald Trump,1964,"$20,000 - $29,999",Mitt Romney,52,20000
In the Republican primary,NA,Ted Cruz,Missouri,Donald Trump,1969,"$60,000 - $69,999",Mitt Romney,47,60000
"No, not in either",NA,NA,Maryland,Hillary Clinton,1983,"$30,000 - $39,999",Barack Obama,33,30000
In the Democratic primary,Bernie Sanders,NA,Ohio,Hillary Clinton,1971,"$120,000 - $149,999",Mitt Romney,45,120000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1987,"$40,000 - $49,999",Barack Obama,29,40000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1953,"$50,000 - $59,999",Mitt Romney,63,50000
"No, not in either",NA,NA,Michigan,Donald Trump,1978,Prefer not to say,Mitt Romney,38,NA
In the Republican primary,NA,Ted Cruz,Kansas,Donald Trump,1963,"$40,000 - $49,999",Mitt Romney,53,40000
"No, not in either",NA,NA,South Carolina,NA,1960,"$60,000 - $69,999",NA,56,60000
In the Republican primary,NA,Ted Cruz,Tennessee,Donald Trump,1943,"$40,000 - $49,999",Mitt Romney,73,40000
In the Democratic primary,Hillary Clinton,NA,Tennessee,Hillary Clinton,1974,"$30,000 - $39,999",Barack Obama,42,30000
In the Democratic primary,Hillary Clinton,NA,Tennessee,NA,1985,"Less than $10,000",NA,31,0
"No, not in either",NA,NA,Mississippi,Gary Johnson,1954,"$30,000 - $39,999",Barack Obama,62,30000
In the Republican primary,NA,John Kasich,Ohio,Donald Trump,1953,"$20,000 - $29,999",Mitt Romney,63,20000
In the Republican primary,NA,Donald Trump,West Virginia,Donald Trump,1954,"$50,000 - $59,999",Mitt Romney,62,50000
In the Republican primary,NA,Donald Trump,Rhode Island,Donald Trump,1952,"$150,000 or more",Barack Obama,64,150000
In the Democratic primary,Hillary Clinton,NA,North Carolina,Hillary Clinton,1942,Prefer not to say,Mitt Romney,74,NA
In the Democratic primary,Hillary Clinton,NA,Kentucky,Hillary Clinton,1963,"$30,000 - $39,999",Barack Obama,53,30000
In the Republican primary,NA,Donald Trump,Indiana,Donald Trump,1939,"$150,000 or more",Mitt Romney,77,150000
In the Republican primary,NA,Donald Trump,Kansas,Donald Trump,1931,"$30,000 - $39,999",Mitt Romney,85,30000
"No, not in either",NA,NA,Georgia,NA,1959,"$70,000 - $79,999",NA,57,70000
In the Republican primary,NA,Ted Cruz,Pennsylvania,Gary Johnson,1955,"$60,000 - $69,999",Mitt Romney,61,60000
In the Republican primary,NA,John Kasich,Alabama,Hillary Clinton,1963,"$30,000 - $39,999",Barack Obama,53,30000
In the Republican primary,NA,John Kasich,Virginia,Other,1957,Prefer not to say,Mitt Romney,59,NA
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1969,"$70,000 - $79,999",Mitt Romney,47,70000
"No, not in either",NA,NA,Florida,Hillary Clinton,1967,"$30,000 - $39,999",Barack Obama,49,30000
"No, not in either",NA,NA,Maryland,Donald Trump,1950,"$120,000 - $149,999",Mitt Romney,66,120000
"No, not in either",NA,NA,Tennessee,Hillary Clinton,1981,Prefer not to say,Barack Obama,35,NA
"No, not in either",NA,NA,Colorado,Hillary Clinton,1945,"$40,000 - $49,999",Barack Obama,71,40000
In the Republican primary,NA,Ted Cruz,Missouri,Hillary Clinton,1960,"$70,000 - $79,999",Barack Obama,56,70000
In the Republican primary,NA,Donald Trump,Maryland,Donald Trump,1951,"$80,000 - $99,999",Mitt Romney,65,80000
"No, not in either",NA,NA,Texas,Donald Trump,1988,"$20,000 - $29,999",NA,28,20000
"No, not in either",NA,NA,Indiana,Hillary Clinton,1982,"$80,000 - $99,999",Barack Obama,34,80000
"No, not in either",NA,NA,Florida,Other,1958,"$40,000 - $49,999",NA,58,40000
"No, not in either",NA,NA,Minnesota,Donald Trump,1958,"$40,000 - $49,999",Mitt Romney,58,40000
In the Republican primary,NA,John Kasich,Michigan,Donald Trump,1976,"$60,000 - $69,999",Mitt Romney,40,60000
In the Democratic primary,Hillary Clinton,NA,Virginia,Hillary Clinton,1975,"$80,000 - $99,999",NA,41,80000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1948,"$100,000 - $119,999",Mitt Romney,68,100000
In the Democratic primary,Hillary Clinton,NA,Nevada,Hillary Clinton,1958,"$70,000 - $79,999",Barack Obama,58,70000
In the Democratic primary,Hillary Clinton,NA,Alabama,Hillary Clinton,1969,"$30,000 - $39,999",Barack Obama,47,30000
In the Republican primary,NA,John Kasich,Kansas,Donald Trump,1948,"$30,000 - $39,999",Mitt Romney,68,30000
"Not sure, don't recall",NA,NA,Missouri,Donald Trump,1965,"$70,000 - $79,999",NA,51,70000
In the Democratic primary,Bernie Sanders,NA,Ohio,Hillary Clinton,1968,"$100,000 - $119,999",Barack Obama,48,100000
"No, not in either",NA,NA,Kansas,Donald Trump,1957,"$40,000 - $49,999",Mitt Romney,59,40000
In the Republican primary,NA,Someone else,Florida,Donald Trump,1945,"$80,000 - $99,999",Mitt Romney,71,80000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1970,"$100,000 - $119,999",Mitt Romney,46,100000
"No, not in either",NA,NA,Florida,Hillary Clinton,1968,"$40,000 - $49,999",Barack Obama,48,40000
"No, not in either",NA,NA,Pennsylvania,Donald Trump,1963,"$50,000 - $59,999",NA,53,50000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1960,"$50,000 - $59,999",Barack Obama,56,50000
"No, not in either",NA,NA,Florida,Donald Trump,1972,"$50,000 - $59,999",Mitt Romney,44,50000
In the Republican primary,NA,Donald Trump,Ohio,Donald Trump,1935,"$100,000 - $119,999",Mitt Romney,81,100000
In the Republican primary,NA,Donald Trump,Kentucky,Donald Trump,1946,"Less than $10,000",NA,70,0
In the Democratic primary,Hillary Clinton,NA,Arizona,Hillary Clinton,1949,"$30,000 - $39,999",Barack Obama,67,30000
"No, not in either",NA,NA,Minnesota,NA,1964,"$20,000 - $29,999",NA,52,20000
In the Republican primary,NA,Donald Trump,Illinois,Donald Trump,1958,"$40,000 - $49,999",Mitt Romney,58,40000
In the Republican primary,NA,Ted Cruz,Virginia,Donald Trump,1964,Prefer not to say,Mitt Romney,52,NA
