primary_vote_2016,dem_primary_vote_2016,rep_primary_vote_2016,state,pres_vote_2016,birth_year,income_group,pres_vote_2012,age,income
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1970,"$150,000 or more",Barack Obama,46,150000
In the Democratic primary,Hillary Clinton,NA,Nebraska,Hillary Clinton,1937,"$80,000 - $99,999",Barack Obama,79,80000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1970,"$120,000 - $149,999",Barack Obama,46,120000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1959,Prefer not to say,Mitt Romney,57,NA
"No, not in either",NA,NA,Washington,Donald Trump,1954,Prefer not to say,Mitt Romney,62,NA
"No, not in either",NA,NA,Alabama,Hillary Clinton,1949,"$60,000 - $69,999",Barack Obama,67,60000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1960,"$60,000 - $69,999",Barack Obama,56,60000
In the Republican primary,NA,Marco Rubio,Texas,Gary Johnson,1982,"$80,000 - $99,999",Mitt Romney,34,80000
In the Democratic primary,Hillary Clinton,NA,Indiana,Hillary Clinton,1972,Prefer not to say,Barack Obama,44,NA
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1962,Prefer not to say,Barack Obama,54,NA
In the Republican primary,NA,John Kasich,Pennsylvania,Donald Trump,1935,Prefer not to say,Mitt Romney,81,NA
In the Democratic primary,Hillary Clinton,NA,Mississippi,Hillary Clinton,1949,"$30,000 - $39,999",Barack Obama,67,30000
In the Democratic primary,Hillary Clinton,NA,Oregon,Hillary Clinton,1952,"$50,000 - $59,999",Barack Obama,64,50000
In the Democratic primary,Bernie Sanders,NA,New York,Hillary Clinton,1956,"$80,000 - $99,999",Barack Obama,60,80000
"No, not in either",NA,NA,North Carolina,Donald Trump,1968,"$120,000 - $149,999",Mitt Romney,48,120000
"No, not in either",NA,NA,Maryland,Donald Trump,1963,"$70,000 - $79,999",Mitt Romney,53,70000
"No, not in either",NA,NA,Pennsylvania,NA,1945,Prefer not to say,NA,71,NA
"No, not in either",NA,NA,South Carolina,NA,1990,Prefer not to say,NA,26,NA
In the Democratic primary,Bernie Sanders,NA,Connecticut,Hillary Clinton,1956,Prefer not to say,Barack Obama,60,NA
In the Republican primary,NA,Donald Trump,New Jersey,Donald Trump,1959,"$150,000 or more",Mitt Romney,57,150000
